Title,Description,Document Number,Domains,Types,Version,Date,Status
"Sales Management API","<p><span style=""color: rgb(51,51,51);"">The Sales Management API provides interfaces for Sales Lead, Sales Opportunity, Sales Quote and the other management capabilities to support the sales activities to build relationship with the prospect customer who could be a person or organization that has an interest in the goods and/or services and possibly become the actual customers with one or more subscriptions.</span></p>","TMF699","Marketing Sales","RESTful","v4.0","2021-07-01","Production"
"Service Catalog Management API","<p>The Service Catalog Management API allows the management of the entire lifecycle of the service catalog elements.</p>
<br><b>Version history</b>
<br> v4.0.0 
<p>07-Nov-2024 TMF633 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.","TMF633","Service","RESTful","v4.0","2021-07-07","Production"
"Geographic Location Management API","<p>Provides the information of a geographic region of the entity (customer, equipment, address).</p>","TMF675","Common","RESTful","v1.0.0","2017-08-01","Archived"
"Cost Management API","<p>The Cost Management API provides a standardized mechanism to manage projected and actual costs across telecom services and resources. It enables creating, updating, deleting, and retrieving cost instances, each containing one or more cost items. The API supports three cost cycles: one-time costs, recurring fixed costs, and consumption-based costs. It is designed to interact seamlessly with various ODA function blocks for effective cost tracking and optimization. </p>
<br><b>Version history</b>
<p>v5.0.0
<p> 18 July 2025 TMF764 preview release v5.0.0: Open API Specification (OAS), User Guide, Conformance Profile
</p>","TMF764","Common","RESTful","v5.0","","Pre-production"
"Service Usage Management API","<p>The Service Usage Management API provides a standardized mechanism for service usage management such as the creation, update, retrieval, import and export of a collection of service usages.</p>
<p> 14-Oct-2024 TMF727 v5.0.0 preview release: Open API Specification, User Guide and Conformance profile updates for consistency between Usage APIs: Product Usage, Service Usage and Resource Usage. ","TMF727","Service","RESTful","v4.0","2022-09-06","Pre-production"
"DCS 5GSlice Service Activation API","<p title="""">Domain Context Specialization of TMF640 for 5G Service Slice, Swagger of Contract is strongly bound to the GSMA Service Definition</p>","TMF924","Service","RESTful","v4.0","2022-09-16","Pre-production"
"Service Quality Management Management API","<p>Through this API, any Enterprise is able to access a Service Quality Management application and extract Service Level Specifications and associated Service Level Objectives (SLO) and their thresholds.</p>
<br><b>Version history</b></br>
<br>v4.0.0 </br>
<p>23 Jan 2025 TMF657 v4.0.0 CTK update .json and .html are now available when you run CTK 
../htmlResults.html  
../jsonResults.json </p>
<p>07 No  2024 TMF657 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.</p>
<p>22 Sep 2021</p> Stable release: OAS, User Guide, Conformance profile, CTK, RI and postman released.","TMF657","Service","RESTful","v4.0","2021-09-22","Production"
"Geographic Address Management API","<p>Provides a standardized client interface to an Address management system. It allows looking for worldwide addresses. It can also be used to validate geographic address data, to be sure that it corresponds to a real geographic address. Finally, it can be used to look for a geographic address by: searching an area as a start (city, town ...), then zooming on the streets of this area, and finally listing all the street segments (numbers) in a street.</p>
<p>Version history</p>

<p>12 Mar 2026 TMF673 v4.0.0 release: This update includes fixes and minor improvements to the CTK and Reference Implementation.
The update corrects the use of a string for a datetime filter parameter, which has now been aligned to the proper ISO 8601 date-time format. README files have also been improved with clearer guidance, including suggested proxy configuration for Docker images to support testing vendor implementations across different networks.
The Docker image tag has been incremented from v1.0.0 to v1.0.1 to reflect this patch update.</p>
","TMF673","Common","RESTful","v4.0","2026-03-12","Production"
"Federated ID Management API","<p>The management of principals of any kind (persons, objects, …) and their access to resources in an open environment which can span across different enterprise boundaries. It relies on authentication, authorization and consent mechanisms to protect privacy with a simple and easy user experience. Different parties can provide identity services (operators, social networks, GSMA, …).</p>","TMF691","Common","RESTful","v4.0","2021-11-22","Pre-production"
"Work Qualification Management","No description available yet","TMF714","Common","RESTful","v4.0","2021-08-13","Pre-production"
"Resource Activation Management API","The Resource Activation and Configuration API can be used to query resource instances to acquire the resource activation states and attributes, and it can be used to create/update, configure and activate the resource instances.","TMF702","Resource","RESTful","v4.0","2020-07-13","Production"
"Incident Management API","The Incident Management API provides a standardized mechanism to report, diagnose and resolve incidents and manages the entire lifecycle of incidents as defined by ITIL. The primary objective of incident management is to restore normal service operation as quickly as possible and minimize the adverse impact on business operations, ensuring that agreed levels of service quality are maintained.","TMF724","Common","RESTful","v4.0","2023-09-03","Production"
"Test Environment Management API","This API provides a standardized mechanism for the management of test artefacts related to test environment specification. These include Abstract Test Environments, Concrete Environment Metamodels used to map abstract environments to concrete test resources, Environment Provisioning Artefacts, and Test Resource APIs exposed to test cases.
19 July 2024: CTK fix","TMF705","Common","RESTful","v4.0","2024-07-19","Production"
"Work Management","No description available yet","TMF713","Business Partner","RESTful","v4.0","2021-07-22","Pre-production"
"Partnership Management API","<p>Standardized mechanisms for creating partnership types. It is one of the APIs involved in an onboarding process. Identifies a type of partnership between parties, including the list of role types that are permitted (i.e. Buyer, Seller, Developer). Role types may refer to agreement specifications to be signed by parties playing the role. <br/>The API allows the retrieval, creation, update, and deletion of partnership type and its owned sub-resources.</p>
<br><b>Version history</b>
<br>v4.0.0</br>
07-Nov-2024  TMF668 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.","TMF668","Business Partner","RESTful","v4.0","2021-06-30","Production"
"SLA Management API","<p>Provides a standardized interface for Service Level Agreement (SLA) life-cycle Management (SLA Negotiation, SLA configuration SLA Activation/enforcement, SLA Operations, SLA violation / consequence handling, SLA reporting) between a Customer and a Service Provider which provides offers (product with attached SLA in its catalogue) the customer can discover, browse, trigger and order.</p>","TMF623","Business Partner","RESTful","v2.0.0","2014-08-01","Archived"
"IoT Agent and Device Management API","In addition to including established TM Forum Open APIs, such as alarm management, resource management and activation APIs, the IoT Device Management API Component Suite also includes an IoT Data Access Endpoint API. This API allows for IoT data access using different types of protocols (MQTT IoT, CoAP, etc.). It encapsulates the protocols and allows devices to be easily integrated into solutions that support a host of IoT initiatives, including smart cities, smart factories and other vertical markets.","TMF908","Resource","RESTful","v4.0","2021-11-22","Pre-production"
"Event Management API","The Event Management API provides a standardized client interface to the enterprise event management system for creating, managing and receiving service related events to (indicatively) drive automation workflows, notify other service providers for service outages and SLA violations, trigger Trouble Ticket creation, and enable more complex orchestration scenarios between management systems. The Event Management API can also be used to convey business level Events in support of other processes.","TMF688","Common","RESTful","v4.0","2021-11-22","Pre-production"
"Communication Management API","<p>Provides a capability to create and send communications, notifications, and instructions to Parties, Individuals, Organizations or Users.</p>","TMF681","Common","RESTful","v4.0","2021-07-01","Production"
"Test Data Management API","This API provides a standardized mechanism for the management of test data artefacts used for test case parameterization. These include Test Data Schemas and Test Data Instances.","TMF706","Common","RESTful","v4.0","2021-06-30","Production"
"Shipping Order Management API","Provides the necessary functionality to create, update and query Shipping Orders. A Shipping Order is a document used by a business to specify what items are to be transferred from a storage location or warehouse to which person and to which new location. A ShippingOrder typically is sent along with a shipment of goods so that the person receiving them can verify that the document correctly reflects the items that they actually received.","TMF700","Business Partner","RESTful","v4.0","2021-11-22","Pre-production"
"Topology Management API","This API manages a topology discovery service providing an overlay view of relational information, gathered from one or more other Open API producers, in the form of directed graphs.","TMF686","Common","RESTful","v4.0","2024-03-21","Pre-production"
"General Test Artifact Management API","This API provides a standardized mechanism for the management of test artefacts that do not fall into the categories managed by TMF704, TMF705, TMF706, TMF707, or TMF709, such as binaries, jars, etc.","TMF710","Common","RESTful","v4.0","2021-06-30","Production"
"Metadata Catalog Management API","Metadata Catalog","TMF725","Common","RESTful","v4.0","2022-01-10","Pre-production"
"Revenue Sharing Report Management API","<p>Revenue Sharing Report Management API goal is to provide the report of a revenue sharing.</p>
<br><b>Version history</b>
<p>v5.0.0</pr>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p>


<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF737","Business Partner","RESTful","v5.0","2023-09-19","Production"
"Self Care Management API","<p><span style=""color: rgb(36,41,46);"">The Self Care API component suite covers the operations required to be exposed in order to provide the functionality required by a SelfCare application used by a Service Provider to allow its customers to manage the services it has subscribed to.</span></p>","TMF910","Common","RESTful","v1.0.0","2018-02-01","Archived"
"Entity Inventory Management API","The intent of this API is to provide a consistent/standardized mechanism to query and manipulate the Entity inventory.","TMF703","Common","RESTful","v4.0","2021-11-22","Pre-production"
"Warranty Management","No description available yet","TMF715","Common","RESTful","v4.0","2021-08-11","Pre-production"
"Recommendation Management API","<p>Recommendation API is used to recommend offering quickly based on the history and real-time context of a customer. It is a real-time and personalized recommendation API. It is usually provided by e-commerce or BSS, CRM system in omnichannel.</p>","TMF680","Customer","RESTful","v4.0","2021-07-02","Production"
"Payment Method Management API","<p>This API supports the frequently-used payment methods for the customer to choose and pay the usage, including voucher card, coupon, and money transfer.</p>","TMF670","Customer","RESTful","v4.0","2021-02-08","Production"
"Test Execution Management API","This API provides a standardized mechanism for test case, test suite, and non-functional test model execution. This also includes allocation and provisioning of test environments for test execution.","TMF708","Common","RESTful","v4.0","2021-07-07","Production"
"Prepay Balance Management API","<p>REST API for Balance Management. It includes the model definition as well as all available operations for prepay balance management. Prepaid subscribers pay fees before using services. Therefore, the subscribers must have sufficient balances. Operators can provide multiple recharge channels for subscribers. Subscribers can pass credit between different subscriptions, therefore transferring the balance from one account to another.</p>
<br><b>Version history</b>
<p>v5.0.0</pr>
<p>09 Jan 2025 preview release v5.0.0: Open API Specification (OAS), User Guide
<br>
<p>v4.0.0</pr>
<p> 01 Jul 2021 Stable release: OAS, user guide, conformance profile, CTK, RI and postman release.</p>
","TMF654","Customer","RESTful","v4.0","2021-07-01","Production"
"Test Scenario Management API","This API provides a standardized mechanism for the management of test scenarios. Test scenarios provide a full specification of required test elements, e.g. Test Case T parameterized with test data instance D running on abstract test environment E provisioned with a set of provisioning artefacts P.
<p> 30-Aug-2024 v4.0.0 CTK fixes released","TMF709","Common","RESTful","v4.0","2021-06-30","Production"
"Geographic Site Management API","<p>Covers the operations to manage (create, read, delete) sites that can be associated with a customer, account, service delivery or other entities. This API defines a Site as a convenience class that allows easy reference to places important to other entities, where a geographic place is an entity that can answer the question “where?”</p>

<br><b>Version history</b> 
<p><b>v5.0.0</b></p>
<p>
31-Mar-2026 TMF674 v5.0.0 preview release: Open API Specification, User Guide, Postman Collection, and Conformance Profile.
</p>","TMF674","Common","RESTful","v4.0","2021-07-01","Production"
"Privacy Management API","<p>The Privacy management API provides a standardized mechanism for privacy profile types, privacy profiles and privacy agreements such as creation, update, retrieval, deletion and notification of events</p>
<br><b>Version history</b>
<p>v5.0.0</pr>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p>

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF644","Business Partner","RESTful","v5.0","2023-09-19","Production"
"Process Flow Management API","<p>The ProcessFlow API allows management of business process. It provides all required information to achieve business task requiring manual action:</p>
<br> 20-Sept-2024 release: OAS v4.1.0 update for: <br>processFlowSpecification attribute (string) of ProcessFlow resource : change it from required (in the POST) to optional. This is backward compatible change.  Conformance profile is now compatible with the swagger.
 ","TMF701","Common","RESTful","v4.1","2024-09-20","Pre-production"
"Resource Pool Management API","<p>Resource Pool management API provides a feature of resource reservation at pre-order phase. In order to reserve a physical product, logical product, and virtual product, the API uses the idea of a resource pool.</p>
Release history</p>
v5.0.0</p>
01-Nov-2024 TMF685 v5.0.0  preview release: new user guide released with updates for:
<br> the Use Case</br>
Resource 
""ResourcePool""
Resource 
""ResourcePoolSpecification""</br>
Resources ""AvailabilityCheck""</br>
Resources ""Push""</br>
Resources ""Extract""</br>
</p>
14-Oct-2024 TMF685 v5.0.0  preview release: Open API Specification, User Guide and Conformance profile ","TMF685","Resource","RESTful","v3.0.0","","Archived"
"Service Test Management API","<p>The Service Test API provides a standardized mechanism for placing a service test with all the necessary test parameters. The API consists of a simple set of operations that interact with CRM/Service Management systems in a consistent manner. A service test is a procedure intended to check the quality, performance, or reliability of a service.</p>
<br><b>Version history</b>
<br>v4.0.0</br>
<p>07-Nov-2024 TMF653 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.","TMF653","Service","RESTful","v4.2","2021-07-01","Production"
"Customer360 Management API","An API to give a consolidated Customer overview. This is a view-only API, based on the various underlying involved TM Forum Open APIs. This API provides references where one can find detailed information for: Account, Agreement, Appointment, CustomerBill, InteractionItem, LoyaltyBalance, ProductOrder, ProductValue, Promotion, Quote, ServiceProblem, TroubleTicket, UsageSpecification<p>
Release history</br>
v5.0.1</<br>
<br> 01-Nov-2024 v5.0.1 release: preview release fixes to Conformance profile and User Guides. <br> - Updated Acknowledgement Section.
<br> - Corrected create event example.
<br> 20-Sept-2024 v5.0.1 release: OAS hotfix v5.0.1
<br> - Corrected the discrepancies between the parameter names of entity and sub-entity
<br> - Added Loyalty Account in place of Loyalty Balance sub-entity
<br> - Run the specmatic tool on generated oas file and corrected all the errors","TMF717","Customer","RESTful","v4.0","2022-01-05","Pre-production"
"Resource Usage API","<p>The Resource Usage Management API provides a standardized mechanism for resource
usage management such as the creation, update, retrieval, import and export of a collection
of usages. A resource usage is an occurrence of employing a Resource, Resource Usage
can influence of Service Usage and/or Product Usage.</p>
<br><b>Version history</b>
<p>v5.0.0</pr>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p>
<p> 30-Sept-2024 release: v5.0.0 CTK, RI, Postman released. Stable release.
<p> 20-Sept-2024 release: v5.0.0 small changes in schemas to align apis: TMF767 Product Usage, TMF727 Service Usage and TMF771 Resource Usage.


<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF771","Resource","RESTful","v5.0","2024-09-30","Production"
"Promotion Management API","<p title="""">Used to provide the additional discount, voucher, bonus or gift to the customer who meets the pre-defined criteria. Using promotion, the enterprise is able to attract the users and encourage more consumption, especially continuous purchases. Normally Promotion is not regarded as one type of product or product offering. It is often applied when the customer buys the product offerings with the price or amount surpassing the certain limit</p>
<br><b>Version history</b>
<p>v5.0.0
<p>22 Nov 2024 TMF671 v5.0.0 User guide released.</p>","TMF671","Product","RESTful","v4.1","2021-10-18","Production"
"Risk Management API","The Risk Management API allows the retrieval of Risk Assessments during interaction with PartyRoles (individuals or organizations) typically engaged in an Order process from ProviderPartyRole. The Risk Assessment request is usually issued by the ProviderPartyRole (e.g. Service Provider). The resources used to retrieve these assessment are Task resources, as per the Open API guidelines for tasks","TMF696","Customer","RESTful","v4.0","2023-12-21","Production"
"Document Management API","<p>Provides the operations to synchronize documents and document versions across systems. It also provides operations for uploading documents by Users as well as for viewing of documents online</p>
<br><b>Version history</b>
<p> v5.0.0</p>
<p>14-Oct-2024  TMF667 v5.0.0 preview release: Open API Specification, User Guide and Conformance profile  </p>
<br> v4.0.0</br>
07-Nov-2024  TMF667 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.","TMF667","Common","RESTful","v4.0","2021-12-02","Production"
"Appointment Management API","<p>The appointment API provides a standardized mechanism to book an appointment with all the necessary appointment characteristics. The API allows searching of free slots based on parameters, as for example a party, then creating the appointment. The appointment has characteristics such as nature of appointment, place of appointment.</p>
<br><b>Version history</b>
<p>v4.0.0</p>
<p>07-Nov-2024 TMF646 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.","TMF646","Customer","RESTful","v4.0","2021-07-01","Production"
"Private Optimized Binding","TMF759 Private Optimized Binding API provides the ability to improve the network connection between user equipment and cloud application by means of a simple switch, creating a new way to improve user experience and open new revenue stream.

<p>TMF759 is derived from TMF702, TMF759 opens the door for future APIs, allowing to manage more dedicated core network operations to bolster NaaS capabilities","TMF759","Resource","RESTful","v5.0","2023-12-19","Pre-production"
"Resource Role API ","The Resource Role Management API is designed to facilitate the management of resource role instances and specifications. These specifications delineate the shared characteristics and behaviors inherent to each type of resource entity.
<br><b>Version history</b>
<p>v5.0.0</p>
<p>22-Nov-2024 TMF768 v5.0.0 updates to Conformance profile and User guide released.
<p>14-Nov-2024 TMF768 v5.0.0  OAS, User Guide and Conformance profile  </p>preview release </p>","TMF768","Resource","","v5.0","","Pre-production"
"Test Case Management API","This API provides a standardized mechanism for the management of test artefacts that do not fall into the categories managed by TMF704, TMF705, TMF706, TMF707, or TMF709, such as binaries, jars, etc.
<p> 27-Aug-2024 v4.0.0 CTK fixes released","TMF704","Common","RESTful","v4.0","2021-06-30","Production"
"Performance Management API","<p>Provides a standardized mechanism for performance management such as the creation, partial or full update and retrieval of resources involved in performance management (Measurement Production Job, Measurement Collection Job, and Ad hoc Collection). It also allows notification of events related to performance. </p>","TMF628","Common","RESTful","v5.0","2024-06-13","Pre-production"
"Party Management API","<p>Provides a standardized mechanism for party management such as creation, update, retrieval, deletion and notification of events.<br/>Party can be an individual or an organization that has any kind of relationship with the enterprise.</p>
<br><b>Version history</b>
<br> v5.0.0
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p> 
<br> v4.0.0 
<p>07-Nov-2024 TMF632 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF632","Business Partner","RESTful, Asynchronous","v5.0","2023-09-19","Production"
"Stock Management API","The Stock Management API provides standardized mechanism for product stock management such as creation, update and retrieval of the representation of a product stock, reserve product stock, check or query product stock or adjust product stock. It also allows the notification of events related to them.
<p> Release history
<p> v4.0.0
<p> 04-Nov-2024 v4.0.0 CTK fixes released, CTK  allows for 200 or 206 on
<br>  /ProductStock?fields=id
<br>  /ProductStock?id=IDPS01
<br>  /ReserveProductStock?fields=id 
<p> 24-Oct-2024 v4.0.0 CTK fixes released, CTK  allows for 200 or 206 
<p> 30-Aug-2024 v4.0.0 CTK fixes released","TMF687","Resource","RESTful","v4.0","2024-11-04","Production"
"Network as a Service Management API","<p><span style=""color: rgb(36,41,46);"">The API Component Suite supports of a set of Operational Domains exposing and managing “Network” Services. These services are referred to as Network as a Service (NaaS) and include all services offered from a service provider including connectivity, end points, media services, etc. </span></p>
<br><b>Version history</b>
<p> v4.2.0</p>
<p> 20-Dec-2024 v4.2.0: fixed Open API Specification broken link to correct TMF909_Network_as_a_Service_Management_API_v4.2.0_beta_swagger.json file,
","TMF909","Service","RESTful","v3.0.0","2018-08-01","Archived"
"IoT Service Management API","The IoT Service Management Component suite captures the minimal essential operational APIs required to manage IoT service end to end, and therefore accelerate IoT infrastructure as a service and help manage IoT at scale.","TMF914","Service","RESTful","v4.0","","Pre-production"
"Test Result Management API","This API provides a standardized mechanism for the management of test results. These include Test Case Results, Test Suite Results, and Non-functional Test Results.pro
<p> 27-Aug-2024 v4.0.0 CTK fixes released","TMF707","Common","RESTful","v4.0","2021-06-30","Production"
"Shipment Tracking Management API","<p>Shipment Tracking captures information about the current status of the shipment, the past checkpoints and the estimated arrival date. Via this API, tracking information can be retrieved by providing an order ID or the shipping company’s tracking id.</p>","TMF684","Business Partner","RESTful","v1.0.0","2018-02-01","Archived"
"Agreement Management API","<p>The Agreement API provides a standardized mechanism for managing agreements, especially in the context of partnerships between partners.</p>
<br><b>Version history</b>
<p>v5.0.0</p>
<p>06-Sept-2024 TMF651 Agreement V5.0.0 OAS and User guide released </p>
<br>v4.0.0</br>
<p>07-Nov-2024 TMF651 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.
 ","TMF651","Business Partner","RESTful","v4.0","2021-07-01","Production"
"Change Management API","<p>The Change Management API provides standard integration capabilities between external applications and Change Management Application. The API consists of a simple set of operations that interact with a Change Request in a consistent manner.</p>
<br><b>Version history</b>
<br>v4.0.0</br>
<p>07-Nov-2024 TMF655 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.","TMF655","Common","RESTful","v4.0","2022-01-24","Production"
