Title,Description,Document Number,Domains,Types,Version,Date,Status
"Product Ordering Management API","<p title="""">Provides a standardized mechanism for placing a product order with all the necessary order parameters. The API consists of a simple set of operations that interact with CRM/Order negotiation systems in a consistent manner. A product order is created based on a product offering that is defined in a catalog. The product offering identifies the product or set of products that are available to a customer and includes characteristics such as pricing, product options and market.</p>
<br><b>Version history</b>
<br> v5.0.0
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p> 
<br> v4.0.0 
<p>07-Nov-2024 TMF622 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF622","Customer","RESTful, Asynchronous","v5.0","2023-09-19","Production"
"Service Inventory Management API","<p>The intent of this API is to provide a consistent/standardized mechanism to query and manipulate the Service inventory.</p>
<br><b>Version history</b>
<br><p>v5.1.0</p>
<p>30-Sept-2025 v5.1.0 Preview release: Fixed enum mismatch in examples, added operatingStatusContextUpdate, aligned for RI validation. Open API Specification (OAS), User Guide, Conformance Profile </p>
<br><p>v5.0.0</p>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p> 
<p>30-Aug-2024 v5.0.0 CTK fixes released</p>
<br>v4.0.0</br>
<p>07-Nov-2024 TMF638 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF638","Service","RESTful, Asynchronous","v5.0","2023-09-19","Production"
"Alarm Management API","<p>The Alarm Management API applies lessons that were learned in previous generations of similar APIs that were implemented in the Telecommunication industry, starting from ITU recommendations, TM Forum OSS/J, MTOSI and TIP interfaces, NGMN alignment initiative between 3GPP and TM Forum interfaces, and the more recent ETSI work on requirements for NFV interfaces.</p>
<br><b>Version history</b>
<p>v5.0.0</pr>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p> 
<p>09 Jan 2025 CTK updates:  CTK tested against the supplied RI and both an html and json report are now created in a unix environment.</p>
<p>25 Jul 2024 Open API Specification (OAS) v5.0.1 release fixes  v5.0.0 OAS & Governance validation errors</p>
<p>18 Dec 2023 stable release v5.0.0 OAS, user guide, conformance   profile, CTK, RI, postman released.</p>

<br>v4.0.0</br>
<p>07-Nov-2024 TMF639 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.
<p>09 Jul 2021 v4.0.0  stable release OAS, user guide, conformance profile, CTK, RI and postman. </p>


<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF642","Resource","RESTful","v5.0","2025-01-23","Production"
"Product Configuration Management API","<p>The Product Configuration API drives the configuration of new product offerings and modification of existing products for various user engagement channels. The Product Configuration API uses product catalog data, policy data, and existing product inventory data to assist engagement managent systems with product configuration. Product configuration may include setting and restrincting characteristic values, enforcing min/max on bundle offering groups and options, and calculation of prices and discounts.</p>

<br><b>Version history</b>
<p>v5.0.0</pr>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p>
<p>16 Aug 2024: CTK update:  fixed Bat Windows execution


<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF760","Customer","RESTful","v5.0","2024-08-16","Production"
"Intent Management API","<p>This API allows intents to be expressed, reporting on and negotiated between the intent owner and the intent handler. The Intent API provides specifies the basic attributes and relationships that describe an Intent. The expression attribute of Intent contains a statement of the expectations for an intent in a particular ontology language and is validated by the TM Forum Intent Ontology (TIO).</p>
<br><b>Version history</b>
<p>v5.0.0</pr>
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p>
<p>02-Oct-2024 release: v5.0.0 CTK, RI, Postman released. Stable release.

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF921","Common","RESTful","v5.0","2024-10-02","Production"
"Digital Identity Management API","Provides the ability to manage a digital identity. This digital identity allows identification of an individual, a resource, or a partyRole (a specific role - or set of roles - for a given individual). A digital identity is associated with credential / authentication method. These credential / authentication methods should be extensible to describe all types of authentication methods such as login/password, biometric, token, etc. A contact medium is also associated with digital identity (or directly at credential level) to manage credential recovery UCs.
<br><b>Version history</b>
<p>v5.0.0</p>
<p> 18 July 2025 preview release v5.0.0: Open API Specification (OAS), User Guide, Conformance Profile</p>
22-Nov-2024 TMF720 v5.0.0  updates to User Guide  released </p>
14-Nov-2024 TMF720 v5.0.0  OAS and User Guide  preview release </p>
<br>v4.0.0</br>
<p>07-Nov-2024 TMF645 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.","TMF720","Common","RESTful","v4.0","2022-01-24","Production"
"Open Gateway Product Usage API","<p>
The TMF937 Open Gateway Product Usage API v5.0.0 defines an asynchronous bulk export mechanism for exchanging aggregated ProductUsage records between Operators and Channel Partners. It standardizes usage collection, reporting, reconciliation, and settlement processes for Open Gateway APIs, supporting both rated and non-rated commercial models. The API aligns with the TMF635 v5.0 information model.
<br/>
</p>

<br><b>Version history</b>

<p><b>v5.0.00-rc1</b></p>

<p>
27-February-2026 v5.0.0 Preview release: Open API Specification (OAS), User Guide, Conformance Profile, and Postman Collection.
</p>

<br>

<p><b>This API is an Open Gateway Operate API, produced within the 
  <a href=""https://www.gsma.com/solutions-and-impact/gsma-open-gateway/joint-certification-program-gsma-tm-forum/"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    GSMA Open Gateway</a> initiative.</b></p>

<style>
.styled-link {
  color: blue;
  text-decoration: underline;
  cursor: pointer;
}
.styled-link:visited {
  color: purple;
}
.styled-link:hover {
  color: darkblue;
}
</style>","TMF937","Product","RESTful","v5.0","","Pre-production"
"User Role Permission Management API","<p>
A user role is defined as the entity that defines a set of privileges covering various functions and/or manageable assets. 
When a user is assigned a given role then it is actually allocated all the privileges defined for that role type and the corresponding permissions are created for that user.
</p>

<b>Versioning Note</b><br>

<p>
This API has progressed to <b>TMF672 v5.1 RC3</b>. Both <b>v5.0 (Preview)</b> and <b>v5.1(Preview)</b> will remain available to ensure traceability for members who may have explored the earlier v5.0 preview assets.
As with all preview APIs, these assets are provided for early evaluation and may evolve prior to a stable release.
</p>

<br><b>Version history</b>
<p>
03-Mar-2026 TMF672 v5.1.0 RC3 Preview release: Open API Specification (OAS), User Guide, Conformance Profile, and Postman Collection. Includes a fix addressing ambiguity caused by identical <code>oneOf</code> schemas in the <code>PartyRefOrPartyRoleRef</code> definition. A restriction has been added to the allowed value of <code>@type</code>, enabling broader tooling compatibility without altering the API signatures.
</p>
<p>
09 Feb 2026 TMF672 v5.1.0 release: Open API Specification (OAS), User Guide, Conformance Profile
</p>

<p>
20 Dec 2024 TMF672 v5.0.0 release: User guide v5.0.1 and Conformance profile v5.0.1 updates made.
</p>

<p>
14 Nov 2024 TMF672 v5.0.0 release: OAS and User guide fixes including example and two minor fixes in schema.
</p>

<br>v4.0.0</p>

<p>
07-Nov-2024 TMF672 v4.1.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. 
No impact to awarded Open API Conformance certifications.
</p>
","TMF672","Common","RESTful","v4.0","2021-07-02","Production"
"Dunning Case Management","<p>The Dunning Case Management API enables systems to identify, track, and manage outstanding debts resulting from payment refusal or delay. It supports automated recovery through defined strategies, including service suppression.
 </p>
<br><b>Version history</b>
<p>v5.0.0 rc2</p>
<p> 11 March 2026 TMF728 v5.0.0 rc2 Open API Specification (OAS), User Guide, Conformance Profile and Postman Collection
</p>
<p>v5.0.0
<p> 30 Sep 2025 TMF728 v5.0.0 Open API Specification (OAS), User Guide, Conformance Profile
<p>","TMF728","Common","RESTful","v4.0","2022-05-08","Pre-production"
"Performance Thresholding Management API","Provides a standardized mechanism for performance management such as creation, partial or full update and retrieval of the resources involved in performance management (Measurement Production Job, Measurement Collection Job, and Ad hoc Collection). It allows also notification of events related to performance

<br><b>Version history</b>
<p>v5.0.0</p>
<p> 31 Mar 2026 stable release: Open API Specification (OAS), User Guide, Conformance Profile, Postman, CTK, RI</p>
<p>v5.0.0 rc2</p>
<p> 09 Mar 2026 preview release: : Open API Specification (OAS), User Guide, Conformance Profile, Postman Collection</p> <p>This update includes updated schemas and tooling versions in preparation for promoting this API to product/stable version. The Postman Collection asset is now available.
 </p>
<p>v5.0.0</p>
<p> 19 Jan 2026 preview release: Open API Specification (OAS), User Guide, Conformance Profile</p>","TMF649","Common","RESTful","v5.0","2026-03-09","Production"
"Resource Inventory Management API","<p>
The intent of this API is to provide a consistent and standardized mechanism to query and manipulate the Resource inventory.
</p>

<br><b>Version history</b>

<p><b>v5.0.0</b></p>

<p>
20-Mar-2026 – TMF639 v5.0.0 RC2 Preview release: Open API Specification (OAS), User Guide, Conformance Profile, and Postman Collection. 
Includes a fix addressing misalignment between the Conformance Profile and OAS for <code>supportingResource</code>. The Conformance Profile previously marked <code>@referredType</code> as mandatory, while the OAS defines <code>supportingResource</code> using a polymorphic <code>oneOf</code> (Resource or ResourceRef), where <code>@referredType</code> is not consistently required. This update aligns the definitions to ensure consistency across assets.
</p>

<p>
11-Mar-2026 – TMF639 v5.0.0 RC1 Preview release: Open API Specification (OAS), User Guide, Conformance Profile, and Postman Collection.
</p>

<p><b>v4.0.0</b></p>

<p>
07-Nov-2024 – TMF639 v4.0.0 CTK file fix: Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.
</p>","TMF639","Resource","RESTful","v4.0","2021-07-01","Production"
"Service Activation Management API","<p>The REST API for Activation and Configuration allows the user to retrieve, create, update, delete services and retrieve the monitor resource used to monitor the execution of asynchronous requests on a specific resource. Although all the examples given in the API specification are relative to Services, the same API can be used to Activate and Configure Services or Resources.</p>
<br><b>Version history</b>
<p>v5.0.0</p>
01-May-2025 TMF640 v5.0.0  OAS, User Guide and Conformance Profile  preview release </p>
<p>v4.0.0</p>
<p>12 Mar 2026 TMF640 v4.0.0 release: This update includes fixes and minor improvements to the CTK and Reference Implementation.
The update corrects the use of a string for a datetime filter parameter, which has now been aligned to the proper ISO 8601 date-time format. README files have also been improved with clearer guidance, including suggested proxy configuration for Docker images to support testing vendor implementations across different networks.
The Docker image tag has been incremented from v1.0.0 to v1.0.1 to reflect this patch update.</p>
<p>07-Nov-2024 TMF640 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.","TMF640","Service","RESTful","v4.0","2026-03-12","Production"
"Quote Management API","<p>The Quote API is one of the Pre-Ordering Management APIs. The customer Quote API provides a standardized mechanism for placing a customer quote with all the necessary quote parameters.</p>

<br><b>Version history</b>
<p><b>v5.0.0 rc1</b></p>
<p>13-Mar-2026 TMF648 v5.0.0 rc1 preview release: Open API Specification (OAS), User Guide, Conformance Profile, and Postman Collection. </p>
<p>v5.0.0</p>
<p>4-September-2025  v5.0.0 preview release: publish User Guide to match earlier release of OAS and Conformance Profile
<p> 18 July 2025 TMF648 preview release v5.0.0: Open API Specification (OAS), Conformance Profile
<p> 29-Aug-2024 v5.0.0 updates to OAS and User Guide released  </p>
<br>v4.0.0</br>
<p>07-Nov-2024 TMF648 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.","TMF648","Customer","RESTful","v4.0","2021-07-01","Production"
"Resource Order Management API","<p>The REST API for Resource Order Management. It includes the model definition as well as all available operations. Possible actions are creating, updating and retrieving Resource Orders (including filtering). A Resource Order API provides a standard mechanism for placing a Resource Order with all necessary order parameters.</p>
<br><b>Version history</b>
<br>v4.0.0</br>
<p>12 Mar 2026 TMF652 v4.0.0 release: This update includes fixes and minor improvements to the CTK and Reference Implementation.
The update corrects the use of a string for a datetime filter parameter, which has now been aligned to the proper ISO 8601 date-time format. README files have also been improved with clearer guidance, including suggested proxy configuration for Docker images to support testing vendor implementations across different networks.
The Docker image tag has been incremented from v1.0.0 to v1.0.1 to reflect this patch update.</p>

<p>07-Nov-2024 TMF652 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.","TMF652","Resource","RESTful","v4.0","2026-03-12","Production"
"Resource Catalog Management API","<p>The Resource Catalog Management API REST specification allows the management of the entire lifecycle of the Resource Catalog elements and the consultation of resource catalog elements during several processes such as ordering process.</p>
<br><b>Version history</b>
<br> v5.0.0
<p>21-Jan-2026 The CTK and RI have been re-released in a dockerized format, this may require different set up requirements and any automation platforms will need to be updated. Click <a href=""https://projects.tmforum.org/wiki/display/API/TM+Forum+Open+API+Conformance+Testing+and+Validation+Instructions+Page"" 
     target=""_blank"" 
     rel=""noopener noreferrer"" 
     class=""styled-link"">
    here for more information</a></b>.</p> 
<br> v4.1.0 
<p>12 Mar 2026 TMF634 v4.1.0 release: This update includes fixes and minor improvements to the CTK and Reference Implementation. The update corrects the use of a string for a datetime filter parameter, which has now been aligned to the proper ISO 8601 date-time format. README files have also been improved with clearer guidance, including suggested proxy configuration for Docker images to support testing vendor implementations across different networks. The Docker image tag has been incremented from v1.0.0 to v1.0.1 to reflect this patch update.</p>

<p>07-Nov-2024 TMF634  CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.

<style>
.styled-link {
  color: blue;               /* hyperlink blue */
  text-decoration: underline; /* underline like a normal link */
  cursor: pointer;           /* hand cursor on hover */
}
.styled-link:visited {
  color: purple;             /* optional: visited link color */
}
.styled-link:hover {
  color: darkblue;           /* hover color */
}
</style>","TMF634","Resource","RESTful","v5.0","2023-09-19","Production"
"Service Ordering Management API","<p>The REST API for Service Order Management provides a standardized mechanism for placing a service order with all the necessary order parameters. It allows users to create, update &amp; retrieve Service Orders and manages related notifications.</p>
<br><b>Version history</b>
<p>v4.2.0</p>
01 Aug 2024 v4.2.0 release The changes are made to reflect the updates done in service resource model to align with TMF638 v4.2 and TMF640 v4.2 updates and also the addition of optional modifyPath attribute in serviceOrderItem.</p>
<br>v4.1.0</br>
<p>12 Mar 2026 TMF641 v4.1.0 release: This update includes fixes and minor improvements to the CTK and Reference Implementation. The update corrects the use of a string for a datetime filter parameter, which has now been aligned to the proper ISO 8601 date-time format. README files have also been improved with clearer guidance, including suggested proxy configuration for Docker images to support testing vendor implementations across different networks. The Docker image tag has been incremented from v1.0.0 to v1.0.1 to reflect this patch update.</p>
<p>20-Dec-2024: v4.1.0 Updates to CTK and RI released: Removed @type mandatory in RelatedParty for TMF641 Service Order. Note: in general v4.x APIs do not mandate @type
<p>28-Nov-2024: Fix released for CTK. The payload within the test cases was adjusted so that the CTK now correctly passes when pointed to the associated RI.  The CTK test cases were adjusted to remove the double-quotes ("") around the orderDate filter and replaced with single-quotes ('). The URL is now /serviceOrder?orderDate='2024-11-12' to make things easier to read. 
<p>07-Nov-2024: TMF641 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.

 ","TMF641","Service","RESTful","v4.1","2026-03-12","Production"
"Entity Catalog Management API","<p>The entity catalog is intended to provide any SID entity to consumers via a catalog, with its specification and policy providing governance over its content. The API provides management of the entity specifications and their associations through CRUD operations.</p>
<br><b>Version history</b></br>
<br>v4.0.0 </br>
<p>12 Mar 2026 TMF662 v4.0.0 release: This update includes fixes and minor improvements to the CTK and Reference Implementation.
The update corrects the use of a string for a datetime filter parameter, which has now been aligned to the proper ISO 8601 date-time format. README files have also been improved with clearer guidance, including suggested proxy configuration for Docker images to support testing vendor implementations across different networks.
The Docker image tag has been incremented from v1.0.0 to v1.0.1 to reflect this patch update.</p>

07-Nov-2024 TMF662 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.","TMF662","Common","RESTful","v4.0","2026-03-12","Production"
"Payment Management API","<p>The Payments API provides the standardized client interface to Payment Systems for notifying about performed payments or refunds. Examples of Payment API originators (clients) include Web servers, mobile app servers, Contact center dashboards or retail store systems. </p>
<p>Version History</p>
<p>12 Mar 2026 TMF676 v4.0.0 release: This update includes fixes and minor improvements to the CTK and Reference Implementation.
The update corrects the use of a string for a datetime filter parameter, which has now been aligned to the proper ISO 8601 date-time format. README files have also been improved with clearer guidance, including suggested proxy configuration for Docker images to support testing vendor implementations across different networks.
The Docker image tag has been incremented from v1.0.0 to v1.0.1 to reflect this patch update.</p>","TMF676","Customer","RESTful","v4.0","2026-03-03","Production"
"Product Usage Management API","<p>
Provides a standardized mechanism for usage management, including the creation, update, retrieval, import, and export of a collection of usages. The API manages both rated and non-rated usage. For example, it allows a service provider to (1) retrieve usage generated by a partner service platform for rating purposes and (2) provide rated usage to a partner for consumption follow-up.
</p>

<br><b>Version history</b>

<br><b>v5.0.0</b>
<p>
31-Mar-2026 – TMF635 v5.0.0 Updated coversheet for User Guide and Conformance Profile
</p>
<p>
17-Mar-2026 – TMF635 v5.0.0 Stable release: Open API Specification (OAS), User Guide, Conformance Profile, Postman Collection, CTK, and Sample implementation code.
</p>
<p>
03-Mar-2026 – TMF635 v5.0.0 RC3 Preview release: Open API Specification (OAS), User Guide, Conformance Profile, and Postman Collection. Includes a fix addressing ambiguity caused by identical <code>oneOf</code> schemas in the <code>PartyRefOrPartyRoleRef</code> definition. A restriction has been added to the allowed value of <code>@type</code> to improve tooling compatibility without altering the API signatures.
</p>

<p>
22-Jan-2026 – Usage API v4 uplifted to Product Usage v5, aligning the API and schemas with updated design standards. The <code>/usage</code> endpoint was renamed to <code>/productUsage</code>. <code>serviceUsage</code> and <code>resourceUsage</code> are now handled by separate APIs (TMF727 and TMF771 respectively). Specifications are managed by the TMF767 Product Usage Catalog Management API. A new <code>/exportJob</code> resource was introduced to enable file-based export of product usage data, along with corresponding exportJob events.
</p>

<br><b>v4.0.0</b>

<p>
07-Nov-2024 – TMF635 CTK file fix: Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.
</p>","TMF635","Product","RESTful","v5.0","2026-03-17","Production"
"Service Qualification Management API","<p>Service Qualification API is one of the Pre-Ordering Management APIs. Service Qualification API goal is to provide service availability at Customer location.</p>
<br><b>Version history</b>
<p>v5.0.0 </p>
<p>31-Mar-2026 – TMF645 v5.0.0 Updated coversheet for User Guide and Conformance Profile.</p>
<p>
<p>17-Mar-2026 – TMF645 v5.0.0 Stable release: Open API Specification (OAS), User Guide, Conformance Profile, Postman Collection, CTK, and Sample implementation code.</p>
<p>
<p>v5.0.0 RC2</p>
03-March-2026 – TMF645 v5.0.0 RC2 Preview release: Open API Specification (OAS), User Guide, Conformance Profile, and Postman Collection. Includes a fix for a problem where identical <code>oneOf</code> schemas in the <code>PartyRefOrPartyRoleRef</code> schema were causing ambiguity. Adding a restriction on the allowed value of <code>@type</code> allows the API to be used with a wider range of tools without altering the API signatures.
</p>

<p>v5.0.0 rc1</p>
<p>
12-February-2026 TMF645 v5.0.0 RC1 Preview release with Open API Specification (OAS), User Guide, Conformance Profile, and Postman Collection. 
Includes schema alignment updates, rules.yaml refinements, sample payload corrections, clarification of date attributes, and schema reference corrections.
</p>
<p>v5.0.0</p>
<p>4-September-2025  v5.0.0 updated preview release with OAS, User Guide and Conformance Profile, update to current API v5 standards, add missing floatCharacteristic, correct filter parameters, adjust schemas to follow established patterns.</p>
14-Nov-2024 TMF645 v5.0.0  OAS and User Guide fix for missing Characteristic subclasses in OAS/user guide </p>
<br>v4.0.0</br>
<p>07-Nov-2024 TMF645 v4.0.0 CTK file fix Mac-Linux-RUNCTK.sh modified to remove syntax errors. No impact to awarded Open API Conformance certifications.","TMF645","Service","RESTful","v5.0","2026-03-17","Production"
"Product Usage Catalog Management API","<p>
TMF767 Product Usage Catalog Management API provides a standardised mechanism for usage management such as creation, update, retrieval, import and export of a collection of product usage. A Product Usage represents an occurrence of usage on a Product derived from various Service usages, which can be further used to generate interest to a billing system, and can have charges applied to it.
</p>

<p>
It is comprised of characteristics which define all attributes known for a particular type of Product Usage.
</p>
<p> </p>
<br><b>Version history</b> 
<p><b>v5.0.0 </b></p>
<p>31-Mar-2026 – TMF767 v5.0.0 Updated coversheet for User Guide and Conformance Profile.</p>
<p>17-Mar-2026 – TMF767 v5.0.0 Stable release: Open API Specification (OAS), User Guide, Conformance Profile, Postman Collection, CTK, and Sample implementation code.</p>
<p><b>v5.0.0 RC3</b></p>
<p>
03-March-2026 – TMF767 v5.0.0 RC3 Preview release: Open API Specification (OAS), User Guide, Conformance Profile, and Postman Collection. Includes a fix for a problem where identical <code>oneOf</code> schemas in the <code>PartyRefOrPartyRoleRef</code> schema were causing ambiguity. Adding a restriction on the allowed value of <code>@type</code> allows the API to be used with a wider range of tools without altering the API signatures.
</p>
<p><b>v5.0.0 rc1</b></p>
<p>
13-February-2026 TMF767 v5.0.0 rc1 preview release: Open API Specification (OAS), User Guide, Conformance Profile, and Postman Collection. Includes schema updates to ProductUsageSpecification, added Product and Service Usage specification references, removed unused attributes, replaced targetEntitySchema with targetProductUsageSchema, and made name and lifecycleStatus mandatory for create operations.
</p>

<p><b>v5.0.0</b></p>
<p>
14-Oct-2024 TMF767 v5.0.0 preview release: Open API Specification, User Guide and Conformance Profile updates for consistency between Usage APIs: Product Usage, Service Usage and Resource Usage.
</p>","TMF767","Product","RESTful","v5.0","2026-03-17","Production"